key,english,draft,reviewer_edit,note
faq.fail.src,SOURCED · source not yet recorded. troid has not yet traced the 70% or the firm's summary to a document and a read date.,,,"NEW: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
faq.risk.p2,"troid simulated a trader with a genuinely excellent edge — +0.35R per trade, better than
most professionals sustain. Risking 1% per trade with no cap on remaining budget, that
trader blew the account <span class=""stat"">68%</span> of the time within twelve months. At
2%, <span class=""stat"">100%</span>: every simulated year. Capping each trade at a fraction of the
<em>remaining</em> budget rather than a fixed slice of the balance took all of those to
0%.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.risk.src,"MODELLED: 20,000 simulated years of 30 trades a month, 45% won at 2:1, under a 4% daily limit fixed on the $100,000 start and a 6% static floor; the cap is 35% of the remaining budget a trade. True under these assumptions only. <a href=""https://github.com/kunjancollective/troid/blob/main/backtest/income_math.py"">income_math.py</a>",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.keep.q,Does troid keep my conversation with ask troid?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.keep.p,"Yes, for 30 days. Each conversation is kept under a random session ID, shown under the
message box, and deleted automatically 30 days after its last message. troid keeps your messages,
ask troid's replies, the tools it used with their inputs and results, the rule sources and read
dates it cited, the page's language and the AI model used; never your IP address, your browser's
user agent, your name or an account. It keeps them to answer disputes about what ask troid said,
to correct errors, to check that ask troid keeps to its guardrails, and to learn which questions
come up most so troid can improve its pages and answers: once a week it counts them by topic,
never quoting a message. Only troid's operator can read a conversation. They are never sold and never used for marketing or to train an AI model. To
delete a conversation sooner, use &ldquo;delete this conversation&rdquo; under the message box, or write to
<a href=""mailto:hello@troid.ai"">hello@troid.ai</a> with the session ID. <a href=""{L}/terms#ask-troid"">Section 10 of troid's terms</a> has the detail.",,,"NEW: translate it in reviewer_edit | keep {L} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.track.q,Does troid track me?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.track.p,"No. troid sets no cookies and runs no analytics. The moving price tape at the top of each page is
TradingView's: your browser loads it from TradingView's servers, which see your IP address and the page
it sits on. <a href=""https://www.tradingview.com/privacy-policy/"">TradingView's privacy policy</a> covers that connection. With your device set to reduce motion,
the tape isn't loaded unless you press play; pausing it takes it off the page.",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
faq.fill.q,Can troid fill in the price?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.fill.p,"For crypto, yes — tap ""use"" under Entry. The price there is the asset's spot price from Binance.US, asked about
every 15 seconds and marked ""delayed"" once it is over a minute old. A symbol tapped on the tape at the top of the page
opens the desk with that asset selected. Not for gold, oil or stocks at this time; type the price from the tape. Their
prices there are TradingView's, inside its own frame, and troid can't read them. A stock no compared firm offers, like
NVDA, opens the desk but can't be sized, because there are no firm rules to size it against. troid never fills in a
stop: the stop, the size and the trade stay yours.",,,"NEW: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
terms.og.title,troid — terms of use,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
terms.og.description,"A free informational tool, not advice. Verify every number with the firm before trading.",,,NEW: translate it in reviewer_edit | 
terms.draft,Effective 24 September 2026.,,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
chat.og.title,ask troid,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.og.description,"troid's rule data with each rule's source and read date, arithmetic through tools. Not financial advice.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.session.line,Session {id} — quote this if you contact troid about this conversation.,,,"NEW: translate it in reviewer_edit | keep {id} exactly as written; troid stays lowercase, in Latin letters"
chat.session.copy,copy,,,NEW: translate it in reviewer_edit | 
chat.session.delete,delete this conversation,,,NEW: translate it in reviewer_edit | 
chat.isnt.p,"A signal service, a firm recommendation, a memory of you, or a way to reach your account.
  troid keeps each conversation for 30 days after its last message, under the session ID shown
  under the message box, then deletes it automatically: your messages, ask troid's replies, the
  tools used and the sources cited. Never your IP address, your browser, your name or an account.
  Once a week troid counts which topics come up most, never quoting anyone.
  Only troid's operator can read a conversation; it is never sold and never used for marketing or
  to train a model. To answer, troid also sends the conversation to the company that provides the
  AI model, which may keep it for a limited period under its own terms. The hosting provider keeps
  its own request logs, which can include your IP address. About 20 messages an hour per address.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
chat.js.status_off,ask troid is switched off at the moment. troid's desk on the front page does the arithmetic.,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.copied,copied,,,NEW: translate it in reviewer_edit | 
chat.js.deleted,Deleted: troid no longer keeps this conversation. A new session has started.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.delete_none,Nothing is kept for this session yet.,,,NEW: translate it in reviewer_edit | 
chat.js.delete_failed,It could not be deleted just now. Write to hello@troid.ai with the session ID and troid will delete it.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.delete_wait,Deleting once the answer on its way arrives…,,,NEW: translate it in reviewer_edit | 
ask.disclosure,"This is ask troid, an automated assistant. It is not a person and not financial advice. It answers from each firm's own published rules and computed math, and shows the source — or says when a source isn't recorded yet. Verify with the firm before acting. Conversations are kept for 30 days under the session ID shown below, then deleted automatically. troid counts which topics come up most, never quoting them. Don't share personal information here.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
ask.err.switched_off,ask troid is switched off at the moment.,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.err.session,This conversation has no valid session ID. Reloading the page starts a new one.,,,NEW: translate it in reviewer_edit | 
ask.sources,"Sources, each with the date troid read it:",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.derived,Tier: the figures above are DERIVED — troid's tools computed them from the rules listed.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.sourced,Tier: the rules above are SOURCED — read from the documents listed.,,,NEW: translate it in reviewer_edit | 
ask.tier.inputs,Tier: the figures above are DERIVED — troid's tools computed them from the numbers given; no firm rule was needed.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.inputs_quoted,"Tier: the figures above are DERIVED — troid's tools computed them from the numbers given; each firm rule quoted beside them is SOURCED, with the date troid read it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.modelled,"Tier: troid's Monte Carlo figures above are MODELLED — a simulation, true under the assumptions stated beside them only; any other figure is DERIVED — troid's tools computed it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.assumed,"troid's assumptions, not the firm's rules: {list}.",,,"NEW: translate it in reviewer_edit | keep {list} exactly as written; troid stays lowercase, in Latin letters"
ask.support_step5,"The firm's own dashboard is the record of what happened on the account. For a person rather than this assistant, write to hello@troid.ai.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.tape_hint,tap a symbol on the tape to open it here,,,NEW: translate it in reviewer_edit | 
desk2.card.account,your account,,,NEW: translate it in reviewer_edit | 
desk2.card.trade,your trade,,,NEW: translate it in reviewer_edit | 
desk2.card.risk,your risk,,,NEW: translate it in reviewer_edit | 
desk2.card.error,check this step,,,NEW: translate it in reviewer_edit | 
desk2.asset,Asset,,,NEW: translate it in reviewer_edit | 
desk2.group.crypto,Crypto,,,NEW: translate it in reviewer_edit | 
desk2.group.commodities,Commodities,,,NEW: translate it in reviewer_edit | 
desk2.group.stocks,Stocks,,,NEW: translate it in reviewer_edit | 
desk2.js.sum_account,{firm} · {product} · {quota} · equity {eq},,,NEW: translate it in reviewer_edit | keep {eq} {firm} {product} {quota} exactly as written
desk2.js.sum_trade,{asset} · {side} · {entry} → {stop} · {r}R,,,NEW: translate it in reviewer_edit | keep {asset} {entry} {r} {side} {stop} exactly as written
desk2.js.sum_trade_nostop,{asset} · {side} · {entry} · no stop yet,,,NEW: translate it in reviewer_edit | keep {asset} {entry} {side} exactly as written
desk2.js.sum_risk,{rp}% · cap {cp}% · {lev}× {mode},,,NEW: translate it in reviewer_edit | keep {cp} {lev} {mode} {rp} exactly as written
desk2.js.hold_days,"Hold limit at {firm}: {days} days for {asset}, one of its {tier} ({source}, read {date}).",,,NEW: translate it in reviewer_edit | keep {asset} {date} {days} {firm} {source} {tier} exactly as written
desk2.js.hold_none_src,Hold limit at {firm}: none stated in its {source} (read {date}).,,,NEW: translate it in reviewer_edit | keep {date} {firm} {source} exactly as written
desk2.js.hold_none,Hold limit at {firm}: none found in the pages troid has read.,,,"NEW: translate it in reviewer_edit | keep {firm} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_listed,"{firm} lists {asset} as “{as}” ({source}, read {date}).",,,NEW: translate it in reviewer_edit | keep {asset} {as} {date} {firm} {source} exactly as written
desk2.js.avail_not,{asset} isn't on the {firm} pages troid has read.,,,"NEW: translate it in reviewer_edit | keep {asset} {firm} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_unnamed,"{firm} names its symbols only inside its platform, which troid doesn't read ({source}, read {date}).",,,"NEW: translate it in reviewer_edit | keep {date} {firm} {source} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_others,Listed by {firms}.,,,NEW: translate it in reviewer_edit | keep {firms} exactly as written
desk2.js.tape_only,"{sym} is on the tape as market context. None of troid's firms lists it on the pages troid has read, so the desk can't size it against a firm's rules.",,,"NEW: translate it in reviewer_edit | keep {sym} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.tape_miss,troid couldn't read the tapped symbol — choose the asset here.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.chip_live,live {price} · use,,,NEW: translate it in reviewer_edit | keep {price} exactly as written
desk2.js.chip_delayed,delayed {price} · use,,,NEW: translate it in reviewer_edit | keep {price} exactly as written
desk2.js.chip_aria,"Use {asset} at {price}, spot on {source}, as your entry",,,NEW: translate it in reviewer_edit | keep {asset} {price} {source} exactly as written
desk2.js.chip_manual,Enter your price — live quotes on the tape above,,,NEW: translate it in reviewer_edit | 
desk2.js.set_tag,Set your stop,,,NEW: translate it in reviewer_edit | 
desk2.js.set_sent,"troid sizes a trade from its stop. Enter the price where you'd close to cap the loss: below your entry for a long, above it for a short.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.set_cleared,"Your new entry left the old stop on the wrong side or more than 25% away, so it was cleared.",,,NEW: translate it in reviewer_edit | keep every number exactly
desk2.js.g_quota,quota,,,NEW: translate it in reviewer_edit | 
desk2.js.g_equity,equity,,,NEW: translate it in reviewer_edit | 
desk2.js.g_daily,daily floor,,,NEW: translate it in reviewer_edit | 
desk2.js.g_room,room,,,NEW: translate it in reviewer_edit | 
desk2.js.g_line,room {room} before the {bind} · this trade risks {risk},,,NEW: translate it in reviewer_edit | keep {bind} {risk} {room} exactly as written
desk2.js.g_line_set,room {room} before the {bind} · set your stop to size a trade,,,NEW: translate it in reviewer_edit | keep {bind} {room} exactly as written
desk2.js.g_line_block,can't be sized: {reason},,,NEW: translate it in reviewer_edit | keep {reason} exactly as written
desk2.js.g_line_pending,this product's floors aren't recorded yet,,,NEW: translate it in reviewer_edit | 
desk2.js.g_aria,Account gauge. Equity {eq}. {floors}. {line}.,,,NEW: translate it in reviewer_edit | keep {eq} {floors} {line} exactly as written
desk2.js.l_head,"adverse move from entry, first to trigger on top",,,NEW: translate it in reviewer_edit | 
desk2.js.l_off,"→ {pct}, off-scale",,,NEW: translate it in reviewer_edit | keep {pct} exactly as written
desk2.js.l_before,before your stop,,,NEW: translate it in reviewer_edit | 
desk2.js.f_price,price move {x},,,NEW: translate it in reviewer_edit | keep {x} exactly as written
desk2.js.f_fees,fees {x} · {share} of risk,,,NEW: translate it in reviewer_edit | keep {share} {x} exactly as written
desk2.js.f_aria,"Risk {risk}: price move {price}, fees {fees}, {share} of risk.",,,NEW: translate it in reviewer_edit | keep {fees} {price} {risk} {share} exactly as written
desk2.js.x_title,How troid computed this,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.x_lede,"The same numbers as the desk above, one step at a time. Change an input and these change with it.",,,NEW: translate it in reviewer_edit | 
desk2.js.x1_h,Two floors,,,NEW: translate it in reviewer_edit | 
desk2.js.x1_p,"The firm fails the account the moment equity touches either of two floors: the daily floor, reset every trading day, and the max-loss floor.",,,NEW: translate it in reviewer_edit | 
desk2.js.x2_h,The one that binds,,,NEW: translate it in reviewer_edit | 
desk2.js.x2_p,Whichever floor is nearer binds. The dollars between your equity and it are your room: everything a run of losses can spend.,,,NEW: translate it in reviewer_edit | 
desk2.js.x3_h,The crossover,,,NEW: translate it in reviewer_edit | 
desk2.js.x3_p,"On {product}, on a fresh day, the two floors swap at one equity: above it the daily floor binds, below it the max-loss floor does.",,,NEW: translate it in reviewer_edit | keep {product} exactly as written
desk2.js.x3_none,"On {product} the floors move with your balance, so they don't swap at one fixed equity.",,,NEW: translate it in reviewer_edit | keep {product} exactly as written
desk2.js.x4_h,What one trade may risk,,,NEW: translate it in reviewer_edit | 
desk2.js.x4_p,"Your risk % of equity, cut to troid's cap: at most that share of the room left. After losses the room shrinks, and each trade with it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.x5_h,"Size, net of fees",,,NEW: translate it in reviewer_edit | 
desk2.js.x5_p,"Fees are paid on the whole position, in and out, so they come out of the same risk. The tighter the stop, the bigger their share.",,,NEW: translate it in reviewer_edit | 
desk2.js.x6_h,Why leverage doesn't change the loss,,,NEW: translate it in reviewer_edit | 
desk2.js.x6_p,The loss at the stop is size × stop distance: leverage isn't in it. Leverage sets how much margin the position ties up.,,,NEW: translate it in reviewer_edit | 
desk2.js.x6_code,at 1× the margin would be {notional}; at {lev}× it is {margin}; the loss at the stop is {risk} either way,,,NEW: translate it in reviewer_edit | keep {lev} {margin} {notional} {risk} exactly as written; keep every number exactly
desk2.js.x_wait,Enter your entry and stop above to see the rest.,,,NEW: translate it in reviewer_edit | 
desk2.price_ph,0.00,,,NEW: translate it in reviewer_edit | keep every number exactly
desk2.js.empty,Enter your entry and stop to size a trade.,,,NEW: translate it in reviewer_edit | 
desk2.js.sum_trade_empty,{asset} · {side} · no entry yet,,,NEW: translate it in reviewer_edit | keep {asset} {side} exactly as written
desk2.js.g_line_empty,room {room} before the {bind},,,NEW: translate it in reviewer_edit | keep {bind} {room} exactly as written
desk2.js.chip_sel,{asset} selected,,,NEW: translate it in reviewer_edit | keep {asset} exactly as written
desk2.js.chip_no_fill,Live fill isn't available for {asset} — enter your price from the tape above.,,,NEW: translate it in reviewer_edit | keep {asset} exactly as written
desk2.js.x_wait_block,Fix the step the desk flags above to see the rest.,,,NEW: translate it in reviewer_edit | 
desk2.js.tape_opt,{sym} · not offered by troid's firms,,,"NEW: translate it in reviewer_edit | keep {sym} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.tape_none,"No compared firm offers {sym}, so there are no firm rules to size it against. Choose an asset from the list to size a trade.",,,NEW: translate it in reviewer_edit | keep {sym} exactly as written
desk2.js.x_wait_none,Choose an asset from the list to see the rest.,,,NEW: translate it in reviewer_edit | 
